06305326187;150;30;
06304562357;33;10;
06301459222;500;3;
06302729056;45;2;
06208368998;99;16;
06707792901;14;1;
06304782972;143;13;
06200870856;99;41;
06301788150;22;2;
06308913157;313;121;
06304094683;19;1;
06708115393;2;1;
06205428574;0;0;
06303994988;67;33;
06303971908;14;2;
06700110397;165;94;
06207980108;11;3;
06701493995;123;18;
06304367511;111;11;
06308872783;98;55;
06709998968;164;11;
06303422788;335;11;
06305729867;202;14;
06709423310;354;22;
06701011226;35;2;
06309856222;98;15;
06308141443;3;55;
06703269392;16;38;
06301256524;11;53;
06309294531;78;22;
06207991595;74;63;
06705329567;2;45;
06302468257;134;3;
06708916499;8;0;
06304308242;45;11;
06200074191;63;12;
06700565778;3;4;
06306249059;123;22;
06308919593;78;10;
